Part, Part Name, Price [USD], Weight [g], Note
Frame, Diatone Roma L3 Deadcat , 28.99, 42.69, This is a deadcat-style frame for 3-inch props
FC, Happymodel X12 AIO FC+ESC+RX+VTX, 88.49, 5.10, 25.5x25.5mm AIO compatible with the Roma L3 frame
ESC, INCLUDED IN FC, 0.00, 0.00, 12A 4-in-1 ESC on FC
RX, INCLUDED IN FC, 0.00, 0.00, ExpressLRS 2.4GHz built-in radio on FC
RX Antenna, INCLUDED IN FC, 0.00, 0.00, Built-in SMT ExpressLRS antenna
VTX, INCLUDED IN FC, 0.00, 0.00, VTXs require Ham Radio Technician License
VTX Antenna, Lumenier AXII 2 U.FL 5.8GHz Antenna, 25.99, 3.5, 5.8GHz compatible with most analog goggles
FPV Camera, Foxeer Nano Toothless 2, 39.99, 3.6g, 16:9 at 1200TVL w FOV-H 115deg FOV-D 130deg and 4:3 at 1200TVL w FOV-H 115deg FOV-D 145deg
Motors, RCINPOWER GTS V2 1202.5 Plus 6000KVx4, 57.96, 13.20, Weight and price are for four motors weight is with wires
Props, Gemfan Hurricane 3016, 3.99, 4.72, Tri-blade props with 1.5mm shaft holes for motor compatibility
Battery, Flywoo Explorer 1000mAh HV 2S, 35.49, 44.4, 1000mAh 2S lipo for about 13min flight time
AUW+Price, Total Flight Weight and Price, 280.90, 117.21, Total cost is sub-$300 and sub-250g for the drone itself
